file,r,g,b
661,177,180,185
1067,152,146,160
1199,64,62,51
544,33,28,29
593,22,20,21
1241,35,61,108
1200,37,29,62
320,132,104,121
1204,45,43,81
626,126,118,127
854,73,56,100
678,71,61,83
918,52,35,78
850,41,52,80
885,176,175,189
710,92,68,82
1014,101,88,74
857,83,80,84
697,74,76,72
1010,70,66,69
18,43,40,56
700,46,33,99
1110,21,19,21
663,150,124,126
617,78,75,110
675,107,94,99
1149,86,70,117
718,80,59,127
884,32,34,36
712,32,29,63
94,61,59,61
1087,67,82,114
671,64,54,65
627,120,85,76
169,196,195,185
77,59,57,59
155,57,74,93
164,162,165,171
1033,31,21,71
781,181,194,196
1088,128,141,192
1244,59,64,68
159,115,95,90
930,43,36,83
2,86,84,86
984,53,52,55
985,51,52,68
817,138,137,137
1091,56,45,60
685,40,32,50
442,17,22,16
782,92,88,87
391,58,50,88
820,142,145,149
1174,47,32,75
826,47,17,105
1218,29,15,61
807,37,29,40
1176,76,43,102
822,45,8,111
855,137,125,145
1141,38,31,75
604,77,93,87
859,34,39,49
642,122,86,79
832,30,20,26
1243,122,95,117
375,118,121,125
864,41,43,52
8,41,38,38
881,173,170,176
1214,57,48,44
78,147,128,112
926,22,12,38
289,140,130,121
33,71,68,52
755,134,124,156
1135,27,22,44
636,141,141,139
89,173,184,198
756,103,112,114
230,150,148,157
118,5,14,145
1185,61,67,76
788,115,112,112
1145,78,52,73
436,63,74,87
578,47,26,101
1142,120,118,122
1189,39,28,40
956,116,119,136
1115,38,35,33
316,21,49,86
934,28,26,39
540,172,173,179
12,54,62,83
541,122,114,113
1130,64,66,66
225,105,83,70
996,34,59,83
766,140,96,152
394,45,40,30
1239,94,90,120
1256,44,40,38
888,117,107,122
246,114,108,116
242,30,24,25
993,73,71,86
559,35,51,102
193,61,82,91
271,177,161,154
1080,20,19,19
726,58,58,57
472,49,45,36
469,117,110,103
991,42,37,37
187,10,90,188
55,82,102,127
1265,169,167,184
1128,102,82,133
1117,75,68,92
456,7,34,131
1018,66,54,59
1121,111,105,104
654,39,35,85
286,56,53,80
371,25,30,44
51,128,139,143
1106,90,92,116
587,174,151,153
438,21,19,21
15,81,73,61
288,75,62,105
50,162,160,162
1136,29,19,60
727,70,43,107
171,62,40,56
127,158,160,160
490,161,170,181
754,66,71,93
503,66,55,52
669,160,128,120
655,64,67,65
935,48,41,85
1100,117,107,67
446,16,21,28
1102,26,24,26
535,60,81,130
91,78,77,109
90,105,104,116
988,75,49,49
865,17,94,62
1178,110,86,77
1153,59,40,46
872,51,53,64
547,53,39,64
739,141,154,167
205,66,76,91
1179,84,67,101
158,106,85,85
135,71,65,59
1098,12,49,86
